gene	p_ebm	n_pep	abun	l2fc	mg
Ywhah	2.447494839188169e-5	3	978.7302630604445	0.08912988426757851	FALSE
Apba1	2.453542053523033e-5	5	245.80715788372223	-0.01885601383009436	FALSE
Ampd2	2.524642099635723e-5	4	561.6376484105	0.0438387032966495	FALSE
Gadd45gip1	2.594739560844367e-5	3	512.1873044315	0.16602231883523216	FALSE
Septin5	2.607142595067189e-5	4	918.0936537819445	-0.1589644863254148	FALSE
Tuba1a	2.623713753345074e-5	6	2305.5180238904445	-0.15209623846784398	FALSE
Fhit	2.8398264002809236e-5	4	881.6200828117777	-0.03977708521194932	FALSE
Ube2m	2.912724657342767e-5	3	900.4242106654444	0.04809474194469146	FALSE
Cadm3	3.108577692849919e-5	5	1614.6791110748889	-0.014964468637458893	FALSE
Map2	3.169407490260937e-5	8	1865.4646238802222	-0.25193133065288753	FALSE
Eif4g2	3.339296632196751e-5	8	959.8025166717222	-0.19239744009512155	FALSE
Gprin1	3.7378090851170994e-5	6	718.5775197827778	-0.04021434972123933	FALSE
Tom1l1	3.777605697284762e-5	4	737.7598219650556	-0.2617867970395916	FALSE
Sash1	3.9532616203499495e-5	5	559.9682771692222	-0.25107824076190693	FALSE
Atp2b1	3.9947415725787436e-5	8	1842.9490385497777	0.09636890060592607	FALSE
Hsp90aa1	4.240350250506122e-5	7	749.6159940237777	-0.14270777652035302	FALSE
Snx4	4.3584273049392905e-5	3	533.9444360012222	-0.16577342182493224	FALSE
Ctc1	4.429583352747111e-5	4	425.7441526641667	-0.11381104441202562	TRUE
Kbtbd7	4.510893009719976e-5	5	518.0290737641667	-0.10872215727656033	FALSE
Pacsin1	4.665732336904553e-5	4	810.6210886461112	-0.07046460126000469	FALSE
Hspa9	4.8437041158280543e-5	4	1813.324913191	-0.20211508847681647	FALSE
Atxn1l	5.1470002255845616e-5	4	228.18285290427778	-0.22096973548821922	FALSE
Rtn4	5.264553376727616e-5	10	1363.732098308889	-0.03229263057199432	FALSE
Septin3	5.2857561969416056e-5	5	733.1691569702778	-0.2858129029482945	FALSE
Pygb	5.327784952636299e-5	2	385.8075808716111	-0.21797325042537724	FALSE
Impact	5.6534905691917023e-5	4	519.6980735711111	0.0053342226936920695	FALSE
Hgsnat	5.711155819476876e-5	1	40.00339986572222	-0.24019905365683264	FALSE
Erp29	5.715124872503181e-5	3	857.9887963862777	-0.17069286619631646	FALSE
P4ha1	5.82304350361451e-5	5	431.2907537685	-0.20868618934503216	FALSE
Ykt6	5.841513723181713e-5	4	1111.1871438537223	-0.1922515435386948	FALSE
Dtd1	5.927453024616267e-5	2	78.82169548144444	-0.12729912027518875	FALSE
Wdr6	5.938088011070323e-5	4	528.8736009365556	-0.18904898314369417	FALSE
Letm1	6.086553802726322e-5	4	753.2139524739445	-0.1737622402609364	FALSE
Zwint	6.146238394295594e-5	5	1026.8626622147224	-0.11662190056035843	FALSE
Upf1	6.222404167196616e-5	5	574.9908688478889	-0.1368813983478415	FALSE
Tmem158	6.312377976302226e-5	2	155.95091823494442	-0.1637535411998508	FALSE
Pcna	6.423049458922488e-5	5	782.0358526646667	-0.016111168526884923	FALSE
Mtmr12	6.546854937914561e-5	5	647.4810098516111	-0.10480508865180765	FALSE
Snx6	6.805209128066206e-5	4	852.7405338002777	-0.15945489339446275	FALSE
Pom121	7.001531010243223e-5	4	336.12232830222223	0.14026141131015532	FALSE
Tpd52l2	7.170942972607515e-5	6	1050.189468335889	-0.2556042098629955	FALSE
Hp	7.344825038082043e-5	5	451.4276307186667	3.9468370551300076	FALSE
Pick1	7.367380435574484e-5	3	1026.1760917387223	-0.19917158471578367	FALSE
As3mt	7.402529478606292e-5	5	1362.946711267	-0.13886400784291208	TRUE
Dnajb5	7.441658509472948e-5	7	1430.904491300611	-0.181953817110061	FALSE
Trappc3	7.578331301237298e-5	5	726.1134770307779	0.1531239208306434	FALSE
Prdm8	7.688731725294182e-5	1	193.07583528783334	-0.19455788997757592	FALSE
Rps6kc1	7.704817136578979e-5	3	395.47914494655555	-0.26418462473376	FALSE
Aktip	7.97393301881257e-5	5	701.0564233015	-0.15100089625989546	FALSE
Papss1	8.150486209389745e-5	5	435.68188901316665	-0.1593613409003076	FALSE
Cmbl	8.388135382755168e-5	6	1109.7759959445	-0.09325006840189155	FALSE
Maged2	8.561423829263761e-5	9	899.2076352909445	-0.22878580534425141	FALSE
C8b	8.862262010258383e-5	3	274.0697984494445	0.5523669461697857	FALSE
Cnn1	9.094258593459567e-5	5	637.9448239854445	-0.37665506982926994	FALSE
Cd82	9.13597991391285e-5	3	721.8861597078889	-0.0069111672403221235	TRUE
Pcbd1	9.403526147392903e-5	2	203.92766966755556	-0.2555282987192822	FALSE
Tfam	9.469707251665619e-5	4	570.619884167	0.07414148428958589	FALSE
Nap1l4	9.511859521942718e-5	4	886.3800997727221	-0.16882841588568298	FALSE
Hap1	9.794613381875149e-5	7	1518.7019775126112	-0.31860116772878483	FALSE
Ddah2	1.0249046099466646e-4	3	478.53115323305553	-0.16186657711439909	FALSE
Psmc3	1.0283863486686824e-4	4	1776.8559646334445	-0.17586373518866938	FALSE
Bag1	0.00010447544859995021	6	753.1558637767778	-0.209677948185896	FALSE
Cox14	1.0676347770133673e-4	2	625.3163880898334	-0.26021163482479637	FALSE
Steap3	1.0858289683100074e-4	5	436.80405821383334	-0.20616466114961662	FALSE
Las1l	1.088001346660626e-4	3	251.3730650076111	-0.19889271826612198	FALSE
Mettl3	1.1051530125688617e-4	4	373.93398081994445	-0.1767133147489499	FALSE
Pmm2	1.1360379602277252e-4	2	615.3398704023889	-0.22595708502327153	FALSE
Rpl31	1.144818830331815e-4	4	1522.0780395870556	0.02247291544384568	FALSE
Adrm1	1.1643303659288033e-4	3	675.6735519282778	-0.1360538101641882	FALSE
Zpr1	1.1888703044082057e-4	1	56.16596892611111	-0.28894020469088466	FALSE
Nova1	1.2171574751445865e-4	3	642.3018804291667	-0.220035381295707	FALSE
Apcs	1.2383463997966553e-4	1	30.91538941611111	2.1174569843801243	FALSE
Ubfd1	1.2568380925604528e-4	4	1478.0684264729446	-0.1619551466724712	FALSE
Sestd1	1.2733851807689983e-4	5	681.6399976325	-0.19657233233873095	FALSE
Hectd1	1.2786177214567092e-4	3	137.98792113116667	-0.25300573888474437	FALSE
Dync1li1	1.310143199171687e-4	3	619.3100934701666	-0.1328227575806809	FALSE
Txn2	1.339019449263418e-4	3	403.7627525232222	-0.2214126457932734	FALSE
Vdac2	1.367283230093856e-4	4	1852.9804777255556	-0.06274812172683193	FALSE
Gcc2	1.3675623320221915e-4	6	569.2793922601111	-0.2209072951672692	FALSE
Snca	1.3829776473440488e-4	3	825.4514936381667	-0.3497776290971333	FALSE
Tcp11l1	1.3930507427833768e-4	4	381.4245485143333	-0.22569845848782633	FALSE
Psma1	1.4212275511359086e-4	4	1272.5215724504444	-0.1281690100335526	FALSE
Prrt1	1.437045788835498e-4	3	393.5121173873333	0.08419449755916995	FALSE
Ppp1r11	1.4579121042773794e-4	3	256.85476325422223	-0.1559395177128884	FALSE
Bpnt1	1.4617538325225346e-4	5	1215.2070272041667	-0.14402929551470278	FALSE
Ndufaf4	1.4698142137784345e-4	4	454.19942206733333	-0.028363381743592625	FALSE
Plcg1	1.4711469613332506e-4	4	627.533074222	0.10258414820340651	FALSE
Ecpas	1.4796231839571666e-4	5	897.9041906250001	-0.14716844956026917	FALSE
Tomm20	1.4800787170363914e-4	2	283.0792058273889	0.2053241882261989	FALSE
Cnot11	1.4814286875986142e-4	3	248.8653128677778	-0.2617577174987881	FALSE
Pycard	1.4952855003516358e-4	5	423.4096092127222	-0.2023272963838203	TRUE
Pikfyve	1.498374451043178e-4	4	461.7509045346667	-0.16548398297538341	FALSE
Sbno1	1.5061612734789857e-4	4	315.3481245446111	-0.2551499054271885	FALSE
Rprd1a	1.5169611447214074e-4	3	537.3893034479445	-0.2926967939051034	FALSE
Coa3	1.5220063674050775e-4	4	1345.9372960293333	-0.21666221758803517	FALSE
Fundc2	1.5518304445390256e-4	5	705.7482250549444	0.11033734332002007	FALSE
Enah	1.6205568915334656e-4	3	404.8748762952778	-0.16167999281423776	FALSE
Iqsec1	1.6221423074343593e-4	7	836.811340563	0.10250066655086355	FALSE
Nudt5	1.6364837045192442e-4	4	576.130332793	-0.25986783588994883	FALSE
Etnppl	1.6388599185675263e-4	4	325.1141891573333	0.33999065931515016	FALSE
Cc2d1a	0.00016400923480492679	6	1039.5796830968334	-0.16769694790646175	FALSE
Mrpl24	1.7160662859573578e-4	3	621.7942776595555	0.1306847222915059	FALSE
Lrpprc	1.8015389278474718e-4	5	635.9203231726667	0.07623328793542661	FALSE
Gorasp1	1.8594303062821472e-4	4	225.46586357161112	-0.19661794313095313	FALSE
Atpaf2	1.868582219518538e-4	6	451.09003802844444	0.07115020336854153	FALSE
Fstl4	1.9183302475105183e-4	3	358.73389591066666	-0.17003010439154814	FALSE
Ube2v2	1.9241109453761986e-4	4	615.3159418948334	0.06812870325731425	FALSE
Dnm2	1.9268664699995114e-4	7	961.8090581903333	-0.14970293596060208	FALSE
Strn3	1.934253210832969e-4	4	489.27706193294443	-0.17695377064739332	FALSE
Chd4	1.939490366016837e-4	3	205.33861868466667	-0.3466130436646391	FALSE
Rtl8b	1.9407738161524195e-4	4	375.1315627668333	-0.21493371497773972	FALSE
Lpcat2	1.9419391805015868e-4	5	874.3336506206666	-0.17292389035849057	TRUE
C8a	1.943890383211037e-4	2	130.3795261483889	0.5095164725311475	FALSE
Myh9	1.977055810750033e-4	8	734.4923650686111	0.02638947347366606	FALSE
Ubap2l	1.993580186363802e-4	5	578.5050691248889	-0.1555077087860498	FALSE
Washc4	2.0237057497763788e-4	5	760.017326321	-0.20490777619483638	FALSE
Camk1d	2.0557584509523237e-4	5	831.3299342082778	-0.1358604154930243	FALSE
Plcxd3	2.0600170835269514e-4	4	957.4940932337778	-0.2009833376459292	FALSE
Stip1	2.1033767166436193e-4	4	624.8604126001667	-0.13716680263278389	FALSE
Stk39	2.1122684578455677e-4	6	1113.500647553111	-0.15398383021242415	FALSE
Kif3c	2.157774960166674e-4	5	192.1291092305	-0.018265338995640295	FALSE
Mef2d	2.1863219410809387e-4	3	98.92931640155555	-0.34069988071550084	FALSE
Stn1	2.1884132316864308e-4	5	1055.2495276298332	-0.1366929831310671	FALSE
Ywhaq	2.2085156825846886e-4	2	485.8265465092778	0.11012076813404058	FALSE
Akap5	2.2315183473524855e-4	3	661.3480283875556	-0.03481675842207182	FALSE
Csf1r	2.2395351599378027e-4	3	290.40006965605556	-0.15060633878760893	TRUE
Fgfr1op2	2.2835537055663322e-4	3	568.5571789181666	-0.16752961040679015	FALSE
Ptrhd1	2.3463840446353516e-4	4	888.7508907690556	-0.12824345022839923	FALSE
Mapk8	2.3721644870292578e-4	8	935.3832960225556	-0.09630937133588882	FALSE
Srsf9	2.3805184499464907e-4	3	238.62886505644445	0.005999963209563711	FALSE
Hsd17b12	2.5035841635104035e-4	3	1022.5646951202223	-0.21423496464657107	FALSE
Fkbp4	2.557520618421046e-4	6	1219.1772207967222	-0.15360966843097917	FALSE
Ndufs2	2.579106073565851e-4	5	663.4179795180556	-0.0932952990185752	FALSE
Hgs	2.587654343366438e-4	3	209.05092982955554	0.024330159045706793	FALSE
Acsl1	2.5959598810918876e-4	6	849.7308257454445	0.1247622769950541	FALSE
Dhx29	2.652023738666391e-4	4	757.3016688727222	-0.12648285555478575	FALSE
Psmb2	2.6771681149915946e-4	4	636.7845746142777	-0.07313893209588339	FALSE
Nedd8	2.7072509630307454e-4	2	627.7498791462222	-0.21444029187350644	FALSE
Cse1l	2.7288274933176754e-4	6	1026.452997775	-0.2816796706835874	FALSE
Atp11b	2.7329173277671176e-4	4	1018.3900723517222	-0.013264884076843439	FALSE
Pcbp3	2.7333599858613114e-4	3	241.61329784544444	-0.27854028747650195	FALSE
Mrps5	2.733847922211063e-4	4	437.6914573206667	0.13739623744548426	FALSE
Msn	2.785124650117947e-4	5	633.4061723654445	-0.1509117091692114	TRUE
Supt5h	2.7923582699716955e-4	7	557.1018135485556	-0.14518431188661968	FALSE
Gnb5	2.826376685921231e-4	6	717.6306034703333	0.05822050322560705	FALSE
Serpina1d	2.841906227904463e-4	4	400.10913349655556	-0.37704888770631223	FALSE
Slmap	2.9435692359467455e-4	2	522.387994525111	-0.009998801511934004	FALSE
Epn3	2.9560911544885453e-4	5	481.29075196422224	-0.14492702099144392	FALSE
Hbs1l	3.0587031516753744e-4	5	642.1422473044445	-0.10399721431893849	FALSE
Cct8	3.1030450157719776e-4	5	1067.4961957520554	-0.15766384266895198	FALSE
Wdr45b	3.119629666740619e-4	5	1047.190195687111	-0.16407036796272734	FALSE
Tmeff2	3.1331597249903507e-4	3	262.32648657261115	-0.27697596127694846	FALSE
Dcaf7	3.2417360302669767e-4	6	853.9757481988889	-0.14928780603521852	FALSE
Magee2	3.2667532603942263e-4	5	579.831444157111	-0.1866394961680331	FALSE
Ckap4	3.292220059570721e-4	3	222.49444861772224	-0.16383267164196946	FALSE
Celf3	3.2972483543203024e-4	2	427.45851554611113	-0.15024339236385198	FALSE
Pdpk1	3.322745567994781e-4	7	939.6425451216111	-0.12362584573967324	FALSE
Grpel1	3.368747613571239e-4	5	1425.0810462901668	-0.12124571737485113	FALSE
Phyhipl	3.4079792751155296e-4	6	657.7753671424445	-0.11069882355268958	FALSE
Timmdc1	3.410757618758709e-4	5	614.0975746403333	0.13199776150817766	FALSE
Msi1	3.4527956747399974e-4	3	834.416083982389	-0.22193173239750252	FALSE
Hpx	3.458283850817668e-4	2	245.16558025488888	0.9958866396955264	FALSE
Ube3a	3.509136751217803e-4	10	1728.9665086824443	-0.12215353345691073	FALSE
Ehd4	3.5093682902416246e-4	4	1003.7989127506667	-0.20779547417072852	TRUE
Mrps27	3.588490294589647e-4	6	761.4751329948334	0.11985345065224531	FALSE
Osbpl8	3.601312120279352e-4	3	304.74771033816666	-0.0951985356802028	FALSE
Nap1l1	3.619982399463677e-4	3	388.844198561	-0.1867819887292299	FALSE
Tle1	3.6250802727075216e-4	1	35.74853906061111	-0.4114060779504129	FALSE
Lrg1	3.6399964179927713e-4	3	492.94030732022225	1.5403383019843266	FALSE
Stat5b	3.72033639370734e-4	3	581.0136037088889	-0.17734276024507883	FALSE
Fsd1	3.754423011024158e-4	4	743.3600059536111	0.002914668497764091	FALSE
Apba3	3.757269662289352e-4	2	92.53831147494444	-0.29207172813227633	FALSE
Saa2	3.792733192770277e-4	1	45.800163433777776	4.663779968485916	FALSE
Nek6	3.832157912231822e-4	3	623.1628092113889	-0.1418627946572459	TRUE
Cdv3	3.837093692316875e-4	6	818.9829785053333	-0.03592876625917143	FALSE
Stat6	3.849361751610317e-4	4	518.6597441945555	-0.19186228492304938	TRUE
Tgtp2	3.8923325168706795e-4	1	151.75307860844444	-0.26935583424622667	FALSE
Arfgef1	3.9436985400679843e-4	8	1336.4645301243334	-0.20101112800035614	FALSE
AW551984	4.018515783308879e-4	7	813.8115483253333	-0.3364812526574955	FALSE
Sdc2	4.0404258246246467e-4	4	761.5212900968888	-0.23807269153118865	FALSE
Psma5	4.083191099222226e-4	3	1114.8145856278888	-0.15611008411829497	FALSE
Tubgcp5	4.0901620634757824e-4	3	405.0770919536111	-0.17111393070194167	TRUE
Mrpl58	4.10316972228254e-4	4	411.4297077388334	0.09947709791337435	FALSE
Cyfip2	4.1797230150506155e-4	2	228.56909333427777	-0.17824977766337924	FALSE
Cald1	4.1998040400327054e-4	8	837.4895689847777	-0.17028097294410094	FALSE
Rab2a	4.212027982618728e-4	1	144.96403777738888	0.3588689997494387	FALSE
Gabra2	4.233088718613171e-4	3	581.7158624855556	0.07646346363912239	FALSE
Cops7a	4.270969039201363e-4	6	595.5305914401112	-0.13645218229128697	FALSE
Chmp4b	4.2840482639442144e-4	6	1035.8225411978333	-0.080659998748372	FALSE
Nudt4	4.314157434377337e-4	5	182.16300745955556	-0.150105106398714	FALSE
Svop	4.358418602625622e-4	3	485.418016275	-0.1348349629031335	FALSE
Ubr4	4.382185765309833e-4	7	901.0810700093889	-0.1417880568831195	FALSE
Spag9	4.384459326237654e-4	7	797.85158869394445	-0.051041930421832284	FALSE
Ptges3	4.4676566108500175e-4	4	1144.988153098611	-0.18264146664616768	FALSE
Abcf3	4.4708421952027266e-4	7	674.7287890997778	-0.13873698089449965	FALSE
Cdc37	4.520691578395435e-4	4	757.8775508660556	-0.17607014220718392	FALSE
Smad1	4.529848932643688e-4	5	493.8951680088889	-0.189919849989468	FALSE
Dennd6a	4.621917959716377e-4	2	100.90896796044444	-0.23570022888350622	FALSE
Celf6	4.640426221241115e-4	1	79.04793689788889	-0.35898406556040285	FALSE
Nos1	4.670273952540785e-4	9	876.9012365829444	-0.06792794869379058	FALSE
Znrd2	4.761162303370699e-4	4	305.4244886975	-0.3807441204951433	FALSE
Trp53rka	4.7979158414837873e-4	6	568.1968944521111	-0.07016693408921562	FALSE
Arpin	4.8466572267096334e-4	4	658.9146900666667	-0.0399500624624865	FALSE
Thumpd1	4.8624928847382096e-4	6	1886.8844830177777	-0.06849953587222767	FALSE
Eif4e	4.952704075652948e-4	4	623.5331352277223	-0.16282705913323425	FALSE
Cacul1	4.961267158866036e-4	4	278.9660420187778	-0.20569032618334812	FALSE
Ankfn1	5.027174719469001e-4	2	112.45117269088888	-0.16246762165434808	FALSE
Mrpl53	5.171966423329832e-4	3	132.39040385538888	-0.005513051725286294	FALSE
Xk	5.173200639231068e-4	4	279.9079359153333	0.04006786122889151	FALSE
Kcmf1	5.193896567995269e-4	5	457.3245693883333	-0.17371339689273763	FALSE
Puf60	5.199873746400522e-4	7	863.086484513	-0.11944441991057277	FALSE
Wdr7	5.215678347974654e-4	4	921.8893909604444	0.11039348917370762	FALSE
Tor1aip1	5.229417164883302e-4	4	304.7035157091111	0.2541486895440593	TRUE
Tox	5.233068325598805e-4	1	65.90384407933334	-0.211621811350294	FALSE
Btf3	5.261527344104626e-4	3	654.8502070008889	-0.1850382709036738	FALSE
Agk	5.267805544974023e-4	4	975.846604358389	-0.018195742276592562	FALSE
Paics	5.286055700611018e-4	5	660.5481968195555	-0.19422170797836802	FALSE
L1cam	5.289946787533053e-4	8	1365.7785981344443	-0.18524457368307157	FALSE
Kank1	5.36789496465347e-4	2	97.40415321444445	-0.27487570181702303	FALSE
Cnbp	5.3728351298264e-4	3	465.9060834314444	-0.1315246165170534	FALSE
Ahsa2	5.413886519490446e-4	5	539.2110528154444	-0.19665179168308383	FALSE
Fhod1	5.414497541762412e-4	1	177.3054594115	-0.2521759162131738	TRUE
Psma3	5.441772200083623e-4	6	526.1070839844999	-0.11045163161194875	FALSE
Phax	5.456641077788295e-4	6	736.9385226002222	-0.05718597730758617	FALSE
Ift22	5.468334359372643e-4	4	395.4159410457222	-0.224870417838298	FALSE
Gspt2	5.518632449158029e-4	2	281.3041883460556	-0.12173004039419806	FALSE
Pgd	5.627646635753349e-4	5	723.106527488	-0.028738398576033795	FALSE
Bcap29	5.638093464966654e-4	7	766.6615279531111	0.006619330179855313	FALSE
Cuedc2	5.654711502526281e-4	4	607.8661096388889	-0.21218731832201332	FALSE
Dusp12	5.764261201588358e-4	4	447.2535618153889	-0.17465020843101176	FALSE
Stub1	5.839697249226157e-4	3	440.304188493	-0.1769644313831517	FALSE
Acsf2	5.852006423013528e-4	4	1162.2154748698333	-0.14881782920368827	FALSE
Sik3	5.91985384821626e-4	4	447.4932392881111	-0.17322232414583286	FALSE
Pih1d1	5.924817214041361e-4	3	196.41657458866666	-0.16618698538773505	FALSE
Ak1	5.941260540985915e-4	5	537.8015226037222	-0.07890579173252124	FALSE
Celf5	5.961915782547991e-4	2	212.34735147961112	-0.2104942756190245	FALSE
Rragd	6.051176720569578e-4	4	1388.5006780559443	-0.13146286191312062	FALSE
Hspa12a	6.073472291541818e-4	5	1239.0168735337777	-0.05583951459665919	FALSE
Ptpn23	6.252625425163051e-4	8	1223.3998296932223	-0.24744825299755413	FALSE
Sf1	6.267757441181914e-4	4	426.91994258205557	0.04037562803943068	FALSE
Uqcrfs1	6.335013226664738e-4	5	1656.8288111080556	-0.09782063495911489	FALSE
Asb6	6.36837724931643e-4	5	520.8373863493333	-0.188488045140956	FALSE
Reep2	6.408602373065465e-4	5	883.1340973516667	-0.1552935278924078	FALSE
Nck1	6.458875762698968e-4	4	528.5718573584445	-0.10885159887450756	FALSE
Cnot1	6.463063848410229e-4	6	692.1325187473889	-0.1712148528588921	FALSE
Rragc	6.481246611008261e-4	4	1006.3996524599444	-0.1423141500136996	FALSE
Gga3	6.534872980695428e-4	5	1102.7777458081666	-0.23364375666495107	FALSE
Arfgef3	6.565037989342208e-4	5	390.02851736133334	-0.0810446133104306	FALSE
Sh3gl3	6.612757544991936e-4	5	630.0527072818334	-0.03630635741295462	FALSE
Tmem169	6.633600169958703e-4	2	71.67214677533333	0.22134778855778622	FALSE
Dennd6b	6.697600134769621e-4	3	307.6039950065	-0.21460878512962267	FALSE
Ppp6r1	6.699256389990796e-4	5	646.1292254873889	-0.16696867432404822	FALSE
Abr	6.710878401497691e-4	5	838.443062854	-0.11582090177329242	FALSE
Gtf2a1	6.735124245969993e-4	3	434.9497891873889	-0.3173693445800681	FALSE
Pdcd10	6.797024627660951e-4	3	986.2700442097778	-0.12787306507093296	FALSE
Maneal	6.80225456275857e-4	4	609.4435212019445	0.20055384834964138	FALSE
Rnh1	6.834400993365501e-4	3	362.49996245194444	-0.14497230016114054	FALSE
Ipo4	6.868721180708885e-4	6	715.0201076182777	-0.07578831778681916	FALSE
Rprd1b	6.955710188431998e-4	5	372.1348419726111	-0.23860359240361387	FALSE
Sqstm1	7.024021366307126e-4	5	415.19315637588886	-0.18647344841960797	FALSE
Ubxn7	7.038263300709434e-4	7	917.4880130640555	-0.2279002079698467	FALSE
Dnajb4	7.121881536294662e-4	5	730.2177792164445	0.06141156221563316	FALSE
Gabbr2	7.201912105571993e-4	5	640.7832393878333	0.030676236108488433	FALSE
Eef1a2	7.403893515206724e-4	5	1673.0831152077221	-0.10725721325017319	FALSE
Fam210a	7.523691009475083e-4	4	862.5338154171111	-0.03288522354960667	FALSE
Pdia4	7.549504963826286e-4	4	1118.564001573611	-0.1427322603744429	FALSE
Coa5	7.550152358979593e-4	3	396.03191136055557	-0.23821159489711768	FALSE
Ppp2r1a	7.650609275009107e-4	3	681.7510747116667	0.09083904802778184	FALSE
