day	treatment	n	mean	l95	u95	median	q25	q75	cv	wilcoxon_p	psymb
0	control	6	1	1	1	1	1	1	0		
0	minocycline 25 µM	6	1	1	1	1	1	1	0		
2	control	6	1.2362945678393626	0.7759222874418494	1.6966668482368759	1.2202542079296628	0.7210816892563714	1.737161250978227	0.465378975449118		
2	minocycline 25 µM	6	1.3527017416808582	0.7141714417243888	1.9912320416373275	1.3745096782800927	0.6627464097194196	2.030179556725718	0.5899280073132851	0.8181818181818182	
4	control	6	0.8459358420271081	0.6226020416593925	1.0692696423948238	0.8314630121783826	0.6147737976869537	1.0157573390143744	0.3299412259393277		
4	minocycline 25 µM	6	1.1762216422016292	0.7595365422602172	1.5929067421430412	1.2489524102812268	0.7461964000266947	1.6238101117039212	0.44272939588614674	0.30952380952380953	
6	control	6	1.1383861361853491	0.6188028640619093	1.657969408308789	1.1232620264959206	0.5453964754827568	1.6964338446489124	0.5704073544461291		
6	minocycline 25 µM	6	2.044730380117496	1.4856244533075644	2.6038363069274277	2.0331973447193015	1.6481241801154196	2.5044255542083174	0.3417256672514708	0.06493506493506493	
8	control	6	0.9766446052403144	0.6693982256246862	1.2838909848559426	1.0773849532747233	0.639959321823376	1.2901540527743092	0.3931604038729357		
8	minocycline 25 µM	6	2.6665543406181023	1.6916750975621655	3.641433583674039	2.1126838509714156	1.88218032197907	3.631466720172191	0.456898717482341	0.0021645021645021645	**
10	control	6	1.1197128775647083	0.5658603426499276	1.673565412479489	1.1559509521702034	0.4761442677928208	1.7066831656969703	0.6181687244456094		
10	minocycline 25 µM	6	2.9531201280812005	2.015745146716749	3.890495109445652	2.7766804295492022	2.0931020008312258	3.27103422732672	0.39669049821415964	0.004329004329004329	**
