feature_id	feature_name	microglia_average	microglia_log2_fold_change	microglia_p_value	mg_enriched
ENSMUSG00000051504	Siglech	4.320035095850466	9.716221896270635	0	TRUE
ENSMUSG00000035697	Arhgap45	4.572571112297415	10.174845599767153	0	TRUE
ENSMUSG00000018654	Ikzf1	3.7072717979472096	10.622932285179044	0	TRUE
ENSMUSG00000022952	Runx1	2.841972483597004	9.800269674073885	0	TRUE
ENSMUSG00000117613	Gm2629	3.644272407916734	10.577286047779754	0	TRUE
ENSMUSG00000048163	Selplg	4.041114719476225	9.485234271687176	1.275065e-301	TRUE
ENSMUSG00000113856	Gm10790	4.3566501259536485	9.44000663010605	2.03787240636e-296	TRUE
ENSMUSG00000117404	Gm50035	1.1323736515734175	10.24008817307748	8.648539505698166e-292	TRUE
ENSMUSG00000052085	Dock8	4.314112076274951	9.350990723523298	8.857340980834391e-292	TRUE
ENSMUSG00000004609	Cd33	1.190526934678472	10.033328904317068	8.23076066567799e-293	TRUE
ENSMUSG00000098112	Bin2	1.2912182674622237	9.77556226721265	3.431787794356327e-285	TRUE
ENSMUSG00000015852	Fcrls	2.977663477508797	9.156816482935795	1.7035806099284118e-278	TRUE
ENSMUSG00000041707	Tmem273	0.7845308655931857	10.038896070627246	6.858276053797283e-271	TRUE
ENSMUSG00000038147	Cd84	1.4866779134542114	9.439420712366296	6.473096545060091e-265	TRUE
ENSMUSG00000030786	Itgam	1.559907973660576	9.34398996587616	5.523881230321446e-263	TRUE
ENSMUSG00000029204	Rhoh	0.9891442691109692	9.590914341888409	3.971370998787547e-257	TRUE
ENSMUSG00000030745	Il21r	0.5874558506260574	10.209862059916556	5.674299140451437e-253	TRUE
ENSMUSG00000021423	Ly86	5.1126428063193545	8.855189534531533	3.00336012573596e-252	TRUE
ENSMUSG00000052160	Pld4	1.541062002283938	9.244414845014164	1.810909097877202e-249	TRUE
ENSMUSG00000022148	Fyb	3.947423318918082	8.793739038497092	6.172104054903856e-247	TRUE
ENSMUSG00000030798	Cd37	2.0908259101567195	8.84156270593287	5.322064485529397e-246	TRUE
ENSMUSG00000030737	Slco2b1	3.208122784628827	8.773625713284641	2.046809242420863e-243	TRUE
ENSMUSG00000024013	Fgd2	2.220593884492998	8.773054736226571	1.6890482235393626e-240	TRUE
ENSMUSG00000102674	8030442B05Rik	1.9249813620423055	8.795327042886115	2.2386838677962737e-239	TRUE
ENSMUSG00000022901	Cd86	1.1797578081775362	9.20609186235422	2.0300581474793237e-237	TRUE
ENSMUSG00000112843	Gm46224	0.521764178970348	10.02091193324093	1.1234048447478875e-233	TRUE
ENSMUSG00000028859	Csf3r	1.511446904406364	8.731763062877505	8.147363582367081e-230	TRUE
ENSMUSG00000024621	Csf1r	4.869260547398201	8.590452546474303	8.963411868515077e-230	TRUE
ENSMUSG00000034116	Vav1	0.6908394650350428	9.439004747638492	4.4379849621840585e-227	TRUE
ENSMUSG00000018008	Cyth4	2.56843667047323	8.599534939734808	1.0761949936563902e-225	TRUE
ENSMUSG00000049625	Tifab	0.4959182753681017	9.886293391931636	1.6822771051257925e-225	TRUE
ENSMUSG00000062310	Glrp1	0.7403774469393483	9.400925408678596	4.5569533514024886e-225	TRUE
ENSMUSG00000044811	Cd300c2	1.1899884783534254	8.982050470828618	2.1417523765762785e-224	TRUE
ENSMUSG00000070780	Rbm47	1.591676896838337	8.725088971284057	4.181147039214724e-224	TRUE
ENSMUSG00000018381	Abi3	1.2131421003304377	8.949874172194672	3.846953340025241e-223	TRUE
ENSMUSG00000114784	Gm47754	0.45122640038921735	10.498658684946156	7.521760441412533e-222	TRUE
ENSMUSG00000024300	Myo1f	2.2022863694414068	8.58116835007777	4.240555796916644e-220	TRUE
ENSMUSG00000054675	Tmem119	1.396217250846349	8.578657824061992	1.519330956618413e-215	TRUE
ENSMUSG00000026288	Inpp5d	7.972922804967949	8.420084416980828	9.545888860749972e-215	TRUE
ENSMUSG00000002111	Spi1	1.161450293125945	8.794660590069723	1.9133943879627363e-211	TRUE
ENSMUSG00000020377	Ltc4s	1.6923682296220883	8.501478916652028	2.0750912095044742e-209	TRUE
ENSMUSG00000070390	Nlrp1b	0.7188391939374763	9.078982546529272	1.1948594082312436e-206	TRUE
ENSMUSG00000089647	Gm2245	0.9385293745565704	8.981426340862678	7.497253598335184e-206	TRUE
ENSMUSG00000000628	Hk2	2.5323600966950948	8.345993051625921	3.458779073475043e-203	TRUE
ENSMUSG00000020399	Havcr2	1.579292401362261	8.436888376187067	3.458779073475043e-203	TRUE
ENSMUSG00000052760	A630001G21Rik	0.8383764980978656	8.86054170984205	9.437822835209323e-203	TRUE
ENSMUSG00000026303	Mlph	0.8066075749201045	8.954632979950409	1.1724013012163819e-202	TRUE
ENSMUSG00000038642	Ctss	7.062931615638859	8.2856817603525	1.2143382805028294e-201	TRUE
ENSMUSG00000020143	Dock2	3.181199968376487	8.29735340506006	2.3567391722277708e-200	TRUE
ENSMUSG00000021384	Susd3	0.6736088626335452	8.971813871624216	1.028740009146078e-197	TRUE
ENSMUSG00000020573	Pik3cg	0.6133017542283038	9.053424522816847	1.4687195948728342e-196	TRUE
ENSMUSG00000036896	C1qc	6.348400072301757	8.225978015966653	3.876280178994138e-195	TRUE
ENSMUSG00000052142	Rasal3	0.5416870629970796	9.013518419509085	6.255968875157149e-188	TRUE
ENSMUSG00000044583	Tlr7	1.0402976199904153	8.373634010426002	9.997288907989879e-188	TRUE
ENSMUSG00000022014	Epsti1	0.8130690508206662	8.67839286416153	1.147525905986491e-185	TRUE
ENSMUSG00000028581	Laptm5	1.990134577372968	8.173602745690133	6.969669946236809e-185	TRUE
ENSMUSG00000002699	Lcp2	0.7441466412146759	8.641986194166746	6.934887303750178e-184	TRUE
ENSMUSG00000038843	Gcnt1	0.5465331699225008	8.879513749945193	2.955822047431853e-182	TRUE
ENSMUSG00000043832	Clec4a3	0.3790732528329463	9.465202566865116	1.2496537714715783e-181	TRUE
ENSMUSG00000078942	Naip6	0.32038151340284526	9.56169355349288	4.0610276539411055e-179	TRUE
ENSMUSG00000112766	Gm40645	0.2918433281753649	9.786875807522222	1.698527084632494e-176	TRUE
ENSMUSG00000036887	C1qa	7.2099301923766355	8.005500608161336	2.227951722606189e-176	TRUE
ENSMUSG00000004730	Adgre1	0.7269160388131783	8.537478200804703	3.0023473742564297e-174	TRUE
ENSMUSG00000020101	Vsir	2.1495176495868207	7.993967306405138	5.877783961515938e-174	TRUE
ENSMUSG00000084796	Mir142hg	2.1581329507875693	7.938046813861407	3.919453695261241e-166	TRUE
ENSMUSG00000036905	C1qb	6.579397835746834	7.857197419482468	7.483247670598666e-165	TRUE
ENSMUSG00000042286	Stab1	1.2158343819556716	8.079603333344467	1.3468541012779055e-164	TRUE
ENSMUSG00000025017	Pik3ap1	1.051605202816398	7.979578599674527	4.906663927701975e-163	TRUE
ENSMUSG00000026656	Fcgr2b	0.43076506003743903	8.832472323216816	6.257675771984364e-163	TRUE
ENSMUSG00000032089	Il10ra	1.5453696528843124	7.908196699948984	2.1932401211953851e-162	TRUE
ENSMUSG00000097415	AU020206	0.7979922737193558	8.02177625139645	1.6996751207059092e-161	TRUE
ENSMUSG00000020709	Adap2	2.942663816380755	7.794708780363864	1.4994530629956423e-160	TRUE
ENSMUSG00000034792	Gna15	1.0451437269158363	7.935462844814352	9.050267992999547e-159	TRUE
ENSMUSG00000111535	Gm35154	0.4016884184849119	8.815080970291906	1.9934513061462616e-158	TRUE
ENSMUSG00000034330	Plcg2	1.2680646454852111	7.864754843985834	1.1255114348068336e-157	TRUE
ENSMUSG00000047180	Neurl3	0.2525360164469486	9.525145107321398	3.430446258828121e-157	TRUE
ENSMUSG00000025573	6030468B19Rik	0.267612793548259	9.334707370847948	4.833558881299074e-157	TRUE
ENSMUSG00000032691	Nlrp3	0.32307379502807926	9.010157363813317	6.730114457840231e-157	TRUE
