gene_symbol	n_peptides	baseline_cv	baseline_abundance	ratio1	ratio2	ratio3	ratio4	ratio5
A1BG	65	0.9304939819515468	117.62356849202564	0.8524559989299654	1.0095754976260165	1.1379685034440181	1.057977119556206	1.1204604582637472
A2M	60	0.7183548809764639	139.4922374183889	0.9777919321690954	0.9861260685251071	1.0360819993057975	1.181531036421837	0.9668653410641599
A4GALT	10	0.40578445886884595	110.32580283891666	1.0078020617768821	0.9691848852608808	1.0230130529622372	1.0110342594615946	1.1886992086042616
ABHD14A	5	0.059669116830469424	97.96303830116666	0.9786099626552547	0.953974182728947	1.0674158546157984	0.9455763994551077	0.8631394061916616
ABI3BP	5	0.0770378170264382	586.5809947665	0.916448103610978	1.0682171227060104	1.0153347736830116	1.0688468777454607	1.0069825743299616
ACE	5	0.09994434844538615	45.86009522366667	1.07128008210385	1.0429617096132102	0.8857582082829399	0.9318350019898468	0.9494404488508323
ACTB	15	0.5025330108534732	40.51666126772222	0.9600172161969465	0.9293726459966586	1.110610137806395	0.9010402061661708	0.9748487837923758
ACYP1	10	0.7014289275305934	272.3098950565	1.0251097411409942	1.0926648103120322	0.8822254485469734	0.9950111699219812	1.0144127009153878
ACYP2	10	0.21302914197478293	177.06138564016666	1.0269337703367183	0.8868684013753559	1.086197828287926	1.1270165978201376	1.011847895059099
ADA	10	0.11850428555845963	102.1316870205	0.9350360646479066	1.0650893158081847	0.9998746195439088	1.0466048634792902	0.9597117024619001
ADA2	40	0.7523565572327809	255.33983610177083	1.1548256213830064	0.9980296836107652	0.8471446950062285	0.8509906812871689	0.9912186131544233
ADAM10	15	0.25198017815389795	177.01750218066667	0.9124274352006623	1.024226137879047	1.0633464269202908	1.00595003265228	1.0620007853326947
ADAM11	5	0.07449994275378163	204.55152700483333	1.0728075074761714	0.9239157521666139	1.003276740357215	1.0214588799772828	0.8976005650212604
ADAM28	25	0.375757620994461	159.6124260469	1.0022248989686784	1.037654283515082	0.9601208175162398	0.816053036210521	0.8437839674413979
ADAM9	5	0.05352335826502697	216.585066726	0.9635451302813566	1.0614481675615097	0.9750067021571337	0.9271499709328487	0.9636151821147048
ADAMTS1	15	0.7388469805927432	93.69589206033334	1.00098943926955	0.9957752511720388	1.0032353095584114	0.8020449306956804	0.8782823940635195
ADAMTS2	15	0.47523393737366565	141.28753977361112	0.9799985777929235	0.891607467591858	1.1283939546152184	1.1080662448001704	0.9125932384466998
