symbol	MP-1	MP-18	MP-19	MP-2	MP-20	MP-21	MP-22	MP-23	MP-24	MP-3	MP-4	MP-5	MP-6	MP-7	MP-8
0610009B22Rik	26.635198	21.056531	19.784478	25.558922000000003	24.894819	20.407145	22.079836	21.207532	23.107702	25.437583	23.549708	22.125214	22.712814	19.320167	25.033691
0610010K14Rik	45.632097	47.183897	40.225049	58.493596000000004	52.794081	57.891114	54.436983	54.522059	61.363156000000004	51.555805	55.385147	44.569962000000004	50.033828	38.561711	43.559181
0610012G03Rik	26.257278	23.05512	30.7507	30.626742	26.75431	27.558993	26.564381	25.571125	41.633801	28.007497	24.951325	26.370081	29.309626	27.088839	29.969594
0610030E20Rik	9.733177000000001	6.200854	8.091149	10.231368	7.637874	8.429148999999999	6.70772	7.608274	5.233688000000001	8.363267	8.639025	7.846669	8.231521	7.732304	8.776152
0610040J01Rik	5.0848	6.210248999999999	5.215072	4.788682	7.0428049999999995	5.2295110000000005	3.857419	3.886982	5.31829	6.036283999999999	4.581844	7.413623	4.231508	6.617756	4.257293
1110002E22Rik	0.572565	0.44282	0.438142	0.60859	1.172875	1.000287	0.827297	0.67243	0.622026	1.153164	0.4434	0.540357	0.258682	0.551636	0.681499
1110004F10Rik	153.252399	162.765095	126.446522	148.871642	137.60601699999998	133.068947	145.753333	142.117675	151.253501	153.409813	139.047415	120.24350500000001	118.12181799999999	110.63165000000001	137.94291600000003
1110017D15Rik	4.997364999999999	6.332147	1.439351	3.579272	4.273421	1.8919110000000001	1.097517	1.764653	3.221679	4.859071	5.82993	6.110436	5.466722	2.554743	2.530266
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	35.091226999999996	37.220393	36.153801	32.032332000000004	32.813351	39.089109	33.634987	37.773903000000004	31.870269999999998	35.976721	41.199137	36.893613	38.787231	32.33026	35.738714
1110032F04Rik	18.677857	9.033647	13.502656	20.553634	18.683707	16.696421	17.406379	16.119211	19.687254	17.094998	14.673279	15.415171	6.984228	13.986695	17.672597
1110038F14Rik	56.003835	47.252307	43.35037	58.919177	50.452675	64.303566	55.465413	56.084756999999996	63.756714	56.44203	51.523317	49.737138	49.869912	42.391118999999996	51.497587
1110051M20Rik	171.770407	139.21427	133.25629700000002	160.090099	153.287987	182.35229999999999	172.974158	154.948329	150.861104	150.934464	165.981015	127.177627	137.921009	127.916088	148.288116
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	21.362146	19.489433	20.777535999999998	20.979022	20.500894	19.143778	21.089348	22.031796	21.640919	23.031136	20.390098000000002	20.591945	19.663101	17.218332	22.488129
1110059G10Rik	14.58709	15.924675	12.001506000000001	18.827503	13.961916	13.283647	13.673421000000001	13.194439	21.468131	19.635069	12.243622	14.821151	14.190624	15.207511	15.98032
1110065P20Rik	64.924705	69.677582	79.108782	73.207555	68.749218	78.327526	74.90018	80.78556	100.695336	76.59344	76.00746099999999	79.479029	101.04451399999999	81.32904	78.484908
1190005I06Rik	14.568268	16.438097	17.833517	13.928537	15.794158	13.196961	17.183307	20.44747	12.212957	14.387880999999998	13.880823	22.04826	17.067925	19.659775	14.284704
1190007I07Rik	18.747226	11.639607999999999	15.591833000000001	20.601202	17.177106	23.310562	15.26935	15.593455	19.259359	20.746777	17.805117	18.418165	18.964871	18.216908	27.541531
1300017J02Rik	0.344559	0.076226	0.301404	0.5814900000000001	0.126765	0.502251	0.952111	0.031877	0	0.31557500000000005	0.560432	0.421627	0.024522	0	2.065765
1500009C09Rik	333.162317	257.519396	316.312812	314.564048	318.239449	296.243144	299.181022	300.846292	324.958895	315.068889	333.911246	327.538287	356.826393	348.987669	358.729745
1500009L16Rik	16.791328	18.485055	19.163184	17.935387	18.180713	15.489046	16.186784	19.789993	22.078959	18.448404999999998	22.684913	16.597193	23.106903	14.641767999999999	16.128026000000002
1500011B03Rik	158.68140400000001	139.218603	146.85062200000002	168.165661	175.751331	155.158348	146.13458599999998	143.170122	206.20761399999998	166.72335	155.413756	140.20768999999999	162.004185	140.704779	165.61051600000002
1520401A03Rik	0	0.064944	0.03115	0.068413	0.028934	0.161512	0	0.022579	0.079731	0.049765	0.083792	0.158943	0.163463	0.020801	0.108645
1600012H06Rik	10.631447	7.953457	6.455353	8.797864	8.95632	7.807693	7.671524	8.776675000000001	7.623624	6.4924029999999995	10.484917000000001	8.179933	7.808878	8.30425	9.22752
1600014C10Rik	0.893363	1.2540689999999999	1.1824459999999999	0.774319	1.549922	1.101639	0.741553	0.737038	0.160935	0.861167	0.92628	3.446759	1.386763	0.932958	1.9787659999999998
1600014C23Rik	0.322829	0.78039	0.906614	0.173906	0.524054	0.945095	0.142872	0.74216	0.751626	0.301394	0.303162	1.16435	1.793424	1.872906	0.842677
1600029O15Rik	1.240036	0.845834	0.771346	0.802079	1.211755	1.065951	1.094613	1.123045	1.209526	0.897268	1.432654	1.244902	1.412986	0.432547	0.942973
1700001C19Rik	0.050143	0.14845	0	0.107131	0.176782	0.199048	0.204137	0.122556	0.357434	0.031979	0.176185	0.090864	0.107225	0.497235	0.159026
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	0	0	0	0	0	0.066503	0	0.203425	0.478294	0.049219	0.163045	0	0.07617	0.091413	0.089361
1700001J11Rik	0	0	0	0.011973	0	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	0	0	0	0.172419	0	0	0	0	0
1700001L19Rik	27.083995	16.481445	17.117997000000003	32.403652	22.958572999999998	23.430847	22.304340999999997	18.561456	24.366263999999997	22.733155	26.857307	22.213772000000002	25.268279	18.603533	22.33455
1700001O22Rik	10.157997	10.728271	10.527025	8.055328	11.068978000000001	6.707517999999999	10.223671	10.135419	7.464700000000001	10.682458	6.421097	7.603561	7.802945	9.880659	8.078484
1700001P01Rik	0.308485	0.202153	0.361003	0.531234	0.110428	0.467028	0.248081	0	0.127217	0.266342	0.26063	0.364223	0.379264	0.449519	0.431601
1700003E16Rik	35.195814	33.036353	46.284423000000004	39.155791	42.523082	37.845419	34.982988	34.676615	36.076177	43.907475	38.875704999999996	50.912351	54.888288	60.68063000000001	41.157225
1700003F12Rik	0.5559890000000001	0.736711	0.646709	0.407392	0.451268	0.893434	0.54095	0.714559	0.30730999999999997	1.357683	0.142142	0.362805	1.135924	0.723828	0.747728
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
